radian measurement is represented as rad
	rad 	|	cos	|	sin	|	tan
----------------------------------------------------------------------
	0	|	1.0	|	0.0	|	0.0
	15	|	0.966	|	0.259	|	0.268
	30	|	0.866	|	0.5	|	0.577
	45	|	0.707	|	0.707	|	1.0
	60	|	0.5	|	0.866	|	1.732
	75	|	0.259	|	0.966	|	3.732
	90	|	0.0	|	1.0	|	 UN 
	105	|	-0.259	|	0.966	|	-3.732
	120	|	-0.5	|	0.866	|	-1.732
	135	|	-0.707	|	0.707	|	-1.0
	150	|	-0.866	|	0.5	|	-0.577
	165	|	-0.966	|	0.259	|	-0.268
	180	|	-1.0	|	0.0	|	0.0
	195	|	-0.966	|	-0.259	|	0.268
	210	|	-0.866	|	-0.5	|	0.577
	225	|	-0.707	|	-0.707	|	1.0
	240	|	-0.5	|	-0.866	|	1.732
	255	|	-0.259	|	-0.966	|	3.732
	270	|	0.0	|	-1.0	|	 UN 
	285	|	0.259	|	-0.966	|	-3.732
	300	|	0.5	|	-0.866	|	-1.732
	315	|	0.707	|	-0.707	|	-1.0
	330	|	0.866	|	-0.5	|	-0.577
	345	|	0.966	|	-0.259	|	-0.268
	360	|	1.0	|	0.0	|	0.0
	375	|	0.966	|	0.259	|	0.268
	390	|	0.866	|	0.5	|	0.577
	405	|	0.707	|	0.707	|	1.0
	420	|	0.5	|	0.866	|	1.732
	435	|	0.259	|	0.966	|	3.732
	450	|	0.0	|	1.0	|	 UN 
	465	|	-0.259	|	0.966	|	-3.732
	480	|	-0.5	|	0.866	|	-1.732
	495	|	-0.707	|	0.707	|	-1.0
	510	|	-0.866	|	0.5	|	-0.577
	525	|	-0.966	|	0.259	|	-0.268
	540	|	-1.0	|	0.0	|	0.0
	555	|	-0.966	|	-0.259	|	0.268
	570	|	-0.866	|	-0.5	|	0.577
	585	|	-0.707	|	-0.707	|	1.0
	600	|	-0.5	|	-0.866	|	1.732
	615	|	-0.259	|	-0.966	|	3.732
	630	|	0.0	|	-1.0	|	 UN 
	645	|	0.259	|	-0.966	|	-3.732
	660	|	0.5	|	-0.866	|	-1.732
	675	|	0.707	|	-0.707	|	-1.0
	690	|	0.866	|	-0.5	|	-0.577
	705	|	0.966	|	-0.259	|	-0.268
